longitude,latitude,terrain
-86.9912652859833,40.47233062901123,Grass
-86.99126528744632,40.472330638894285,Grass
-86.99126528851862,40.47233065109421,Grass
-86.99126529172129,40.4723306479622,Grass
-86.99126529740097,40.47233065213049,Grass
-86.99126530346764,40.472330654466994,Grass
-86.99126530922265,40.472330654142525,Grass
-86.99126531022593,40.47233064660018,Grass
-86.99126530720743,40.472330632416856,Grass
-86.99126530102323,40.47233061278322,Grass
-86.9912652918223,40.47233058916325,Grass
-86.99126528551544,40.47233055921543,Grass
-86.99126528256535,40.47233052474492,Grass
-86.99126527967648,40.47233048914503,Grass
-86.99126527712214,40.472330451464224,Grass
-86.99126527545882,40.47233041110548,Grass
-86.99126527437049,40.472330367576056,Grass
-86.99126527365252,40.47233032055068,Grass
-86.9912652731755,40.472330269815366,Grass
-86.99126527285696,40.47233021522957,Grass
-86.99126527264359,40.47233015670121,Grass
-86.99126527250073,40.472330094170445,Grass
-86.99126527240551,40.47233002759884,Grass
-86.99126527234283,40.472329956962255,Grass
-86.99126527230244,40.47232988224622,Grass
-86.99126527227757,40.47232980344263,Grass
-86.99126527226353,40.47232972054774,Grass
-86.99126527225715,40.472329633943,Grass
-86.99126527222835,40.472329544215,Grass
-86.99126526919393,40.47232964841873,Grass
-86.99126527735423,40.47232993614831,Grass
-86.99126531823681,40.47233040504285,Grass
-86.99126540678947,40.4723310356075,Grass
-86.9912655302127,40.472331723399016,Grass
-86.99126567794467,40.4723324210748,Grass
-86.99126584491539,40.47233311284379,Grass
-86.99126602486147,40.472333813814814,Grass
-86.99126620886317,40.47233453021844,Grass
-86.99126639531117,40.47233525111485,Grass
-86.9912665808847,40.47233595055607,Grass
-86.9912667784047,40.472336641811886,Grass
-86.99126698577768,40.47233734506143,Grass
-86.99126719296862,40.47233805230729,Grass
-86.99126739911193,40.47233875134727,Grass
-86.99126761350237,40.47233946389544,Grass
-86.9912678313482,40.47234018992796,Grass
-86.99126805229265,40.472340916443216,Grass
-86.99126827457081,40.47234162695119,Grass
-86.99126850377824,40.472342315426594,Grass
-86.99126875326193,40.47234301249705,Grass
-86.99126901588933,40.47234371414121,Grass
-86.99126928352452,40.472344415260864,Grass
-86.99126955600563,40.472345123240906,Grass
-86.99126982696298,40.472345820176365,Grass
-86.99127010231278,40.47234650661538,Grass
-86.99127038588902,40.47234718148711,Grass
-86.99127067980416,40.47234786184128,Grass
-86.99127095181117,40.4723484907718,Grass
-86.99127119697347,40.472349053126365,Grass
-86.99127143474246,40.47234958978292,Grass
-86.99127167264894,40.472350120053015,Grass
-86.99127190596988,40.472350628286975,Grass
-86.99127215491131,40.47235114617305,Grass
-86.99127241513014,40.47235167080191,Grass
-86.99127267237888,40.472352178601376,Grass
-86.99127292136512,40.47235265798992,Grass
-86.99127316234876,40.47235309213869,Grass
-86.99127343797754,40.47235351962509,Grass
-86.99127372327555,40.47235394676896,Grass
-86.99127399677262,40.4723543580107,Grass
-86.99127424307541,40.4723547302645,Grass
-86.99127448757271,40.47235509415781,Grass
-86.99127471679382,40.47235545040013,Grass
-86.99127490966329,40.472355803097486,Grass
-86.99127505154924,40.47235614160813,Grass
-86.99127513747443,40.47235645131124,Grass
-86.99127517342646,40.472356719694446,Grass
-86.9912751689381,40.47235694761078,Grass
-86.9912751412646,40.4723571258612,Grass
-86.99127506753193,40.47235730671139,Grass
-86.99127489541078,40.4723575334876,Grass
-86.99127460859766,40.47235779584712,Grass
-86.99127419665649,40.47235807644129,Grass
-86.99127366509414,40.47235835927264,Grass
-86.99127305192225,40.472358621595326,Grass
-86.99127237305379,40.472358851347195,Grass
-86.99127162578164,40.47235904539606,Grass
-86.99127084479287,40.47235920564134,Grass
-86.99127006158116,40.47235933215137,Grass
-86.99126927436987,40.47235942871789,Grass
-86.99126846928264,40.472359498493816,Grass
-86.99126764836765,40.47235954318735,Grass
-86.99126681880009,40.47235956228053,Grass
-86.99126595407517,40.47235954691045,Grass
-86.9912650377488,40.47235949174345,Grass
-86.99126412464214,40.47235940155846,Grass
-86.99126318819354,40.472359278713235,Grass
-86.99126223973627,40.47235913250284,Grass
-86.99126131083614,40.47235897520257,Grass
-86.99126039733382,40.472358816830365,Grass
-86.99125949477677,40.47235866313514,Grass
-86.99125863151009,40.47235852652761,Grass
-86.99125782309035,40.47235841122375,Grass
-86.99125703253021,40.472358313814894,Grass
-86.99125626086467,40.47235823725184,Grass
-86.99125550035228,40.47235818047035,Grass
-86.99125475136253,40.47235814678388,Grass
-86.99125399283342,40.47235813773676,Grass
-86.99125323297518,40.472358155386715,Grass
-86.99125247501257,40.47235820202228,Grass
-86.99125170819536,40.47235828293192,Grass
-86.99125095451265,40.47235839750912,Grass
-86.99125021293298,40.47235854638165,Grass
-86.99124948151437,40.47235873320326,Grass
-86.99124877915047,40.47235895078528,Grass
-86.99124810491683,40.472359196829075,Grass
-86.99124746847082,40.47235946539344,Grass
-86.99124685279519,40.472359761422766,Grass
-86.99124627435715,40.4723600739706,Road
-86.99124570412701,40.47236041554424,Road
-86.99124514120865,40.47236078183886,Road
-86.99124457852474,40.4723611699644,Road
-86.99124401987874,40.472361566610935,Road
-86.99124346345769,40.47236196268861,Road
-86.99124288304145,40.472362365965445,Road
-86.9912422897574,40.47236275742469,Road
-86.99124168579199,40.47236312983652,Road
-86.99124107017772,40.47236347870511,Road
-86.99124044303845,40.47236380088416,Road
-86.99123982746828,40.47236408332856,Road
-86.99123918442315,40.47236434328072,Road
-86.9912385161687,40.47236457911672,Road
-86.99123783638177,40.47236478559783,Road
-86.99123716078559,40.47236495761616,Road
-86.99123648944997,40.47236509548991,Road
-86.99123581797609,40.47236520152708,Road
-86.99123513704362,40.47236527682773,Road
-86.99123444182494,40.47236532009011,Road
-86.99123373505941,40.47236532989388,Road
-86.99123304272327,40.47236530686019,Road
-86.99123237308427,40.472365255089805,Road
-86.991231740735,40.472365167762696,Road
-86.99123112565637,40.4723650358582,Road
-86.99123051810554,40.472364854275135,Road
-86.99122990985222,40.47236462178106,Road
-86.99122930593894,40.472364349196624,Road
-86.99122870923155,40.47236404465517,Road
-86.9912281253851,40.4723637145292,Road
-86.99122755781039,40.47236336199848,Road
-86.99122700647612,40.47236298930242,Road
-86.99122648280553,40.47236260241173,Road
-86.99122599607331,40.47236220832336,Road
-86.9912255319148,40.47236179646312,Road
-86.99122509097901,40.47236136202689,Road
-86.99122468581167,40.472360913368654,Road
-86.99122431743177,40.472360453272216,Road
-86.99122398397995,40.47235997725296,Road
-86.99122368895294,40.47235948373352,Road
-86.99122343799257,40.472358988425455,Road
-86.99122323177619,40.472358492525935,Road
-86.99122306709715,40.47235798941997,Road
-86.9912229432348,40.472357476845474,Road
-86.99122286013427,40.472356951538245,Road
-86.99122281917809,40.47235642333499,Road
-86.99122282771046,40.47235588975868,Road
-86.99122288526769,40.47235535739676,Road
-86.99122298952112,40.4723548175466,Road
-86.99122313617875,40.47235429467371,Road
-86.99122332368948,40.47235379039127,Road
-86.99122356266663,40.47235328732021,Road
-86.99122385324743,40.472352794489886,Road
-86.99122418147388,40.47235231856792,Road
-86.99122454151333,40.472351864385274,Road
-86.99122493276052,40.4723514275936,Road
-86.99122535754326,40.472351006966726,Road
-86.99122581238588,40.47235060268265,Road
-86.9912262694395,40.4723502351839,Road
-86.99122677341411,40.47234987355704,Road
-86.99122730892127,40.4723495275874,Road
-86.99122785606825,40.47234921148775,Road
-86.9912284416363,40.472348912953024,Road
-86.99122903996356,40.47234864573095,Road
-86.99122967017993,40.47234840203247,Road
-86.99123033513676,40.472348183732855,Road
-86.99123099556569,40.47234799977753,Road
-86.99123167926739,40.47234784901244,Road
-86.99123236132942,40.47234773143602,Road
-86.99123305214151,40.47234764925359,Road
-86.99123375223985,40.472347599124255,Road
-86.99123447023737,40.4723475830265,Road
-86.99123517462101,40.47234759927639,Road
-86.9912359033911,40.47234765079202,Road
-86.99123663806215,40.472347738034735,Road
-86.99123738883843,40.47234786322091,Road
-86.99123814466374,40.472348028322536,Road
-86.9912389121839,40.472348244458,Road
-86.99123967526855,40.47234849020521,Road
-86.99124039704675,40.47234875264994,Road
-86.99124106788747,40.47234904651942,Road
-86.99124171204174,40.47234938983923,Road
-86.99124233556162,40.47234977534666,Road
-86.99124294808041,40.47235019222327,Road
-86.99124353064337,40.47235061262568,Road
-86.99124409677478,40.472351036838205,Road
-86.99124469308633,40.47235148890488,Road
-86.99124532963593,40.47235195654808,Road
-86.99124600539565,40.47235242278192,Road
-86.99124672674962,40.47235288028881,Road
-86.99124746658518,40.47235330051314,Grass
-86.99124822174043,40.47235368135853,Grass
-86.99124900396208,40.472354024153866,Grass
-86.99124979000517,40.47235432313846,Grass
-86.99125059514579,40.47235458294248,Grass
-86.9912514106067,40.472354803214,Grass
-86.99125225349296,40.47235499922616,Grass
-86.99125311099827,40.47235517244046,Grass
-86.99125396703992,40.47235531872274,Grass
-86.99125479444275,40.47235543417751,Grass
-86.9912556417094,40.472355526293526,Grass
-86.99125651743297,40.47235560309553,Grass
-86.99125738966895,40.472355664551166,Grass
-86.99125828620613,40.47235571191592,Grass
-86.9912591763655,40.47235574650448,Grass
-86.99126006698121,40.472355770041936,Grass
-86.99126094816539,40.472355784891285,Grass
-86.99126183340589,40.47235579344232,Grass
-86.99126271230814,40.47235579498683,Grass
-86.99126359292758,40.472355785557134,Grass
-86.99126449020211,40.472355760652576,Grass
-86.99126539844904,40.472355720675786,Grass
-86.9912663107539,40.47235566945552,Grass
-86.99126723207952,40.47235561180281,Grass
-86.99126813313806,40.47235555186768,Grass
-86.9912690170995,40.47235549249368,Grass
-86.99126988592349,40.47235543775788,Grass
-86.99127077647,40.472355385943295,Grass
-86.99127166069286,40.472355326623074,Grass
-86.99127253889617,40.4723552615376,Grass
-86.9912734095667,40.47235519899382,Grass
-86.99127425268605,40.47235514624549,Grass
-86.99127507710227,40.47235510838516,Grass
-86.99127586570286,40.47235509135036,Grass
-86.99127661775626,40.4723550977632,Grass
-86.99127736557753,40.47235512850008,Grass
-86.99127809032598,40.47235518602713,Grass
-86.99127881924461,40.47235527444589,Grass
-86.99127957388646,40.472355401448965,Grass
-86.99128031338,40.47235555968951,Grass
-86.99128101708375,40.472355745935744,Grass
-86.9912816633114,40.472355957229226,Grass
-86.99128228608141,40.47235622325175,Grass
